question,passage_title,sia_score
What is the busiest Amtrak route that does not stop at either Lortorn Station?The Northeast Regional,Sacramento Valley Station,1.49
What is the busiest Amtrak route that does not stop at either Lortorn Station?The Northeast Regional,Northeast Regional,1.74
What is the busiest Amtrak route that does not stop at either Lortorn Station?The Northeast Regional,Galena station,1.37
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Bettada Jeeva,1.07
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Prema Karanth,1.19
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Chomana Dudi,1.07
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Marali Mannige,1.18
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",K. R. Karanth,1.21
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",K. Shivaram Karanth,1.11
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Ramayana Ballet,1.16
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Yakshagana,1.79
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Mookajjiya Kanasugalu,0.8
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?Yakshagana",Chigurida Kanasu,1.06
What year were trade unions legalized in Tony Blair's country?1871,Federation of Independent Trade Unions of Russia,1.23
What year were trade unions legalized in Tony Blair's country?1871,Trade Unions International of Transport Workers,1.16
What year were trade unions legalized in Tony Blair's country?1871,Trade unions in the United Kingdom,1.91
What year were trade unions legalized in Tony Blair's country?1871,Tony Blair,0.55
What year were trade unions legalized in Tony Blair's country?1871,Free Trade Unions (Germany),1.4
What year were trade unions legalized in Tony Blair's country?1871,Korean Confederation of Trade Unions,0.92
What year were trade unions legalized in Tony Blair's country?1871,Trade unions in Azerbaijan,1.31
What year were trade unions legalized in Tony Blair's country?1871,Federation of Trade Unions of Ukraine,1.17
What year were trade unions legalized in Tony Blair's country?1871,Union Modernisation Fund,1.12
What year were trade unions legalized in Tony Blair's country?1871,World Federation of Trade Unions,1.17
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",2014–15 Charlotte Hornets season,1.36
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",Smoothie King Center,1.81
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",2008 NBA All-Star Game,1.13
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",New Orleans Pelicans draft history,1.61
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",List of Charlotte Hornets seasons,1.5
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",List of New Orleans Pelicans seasons,1.62
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",2006 NBA draft,1.52
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",List of New Orleans Pelicans head coaches,1.54
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",2006–07 New Orleans/Oklahoma City Hornets season,2.92
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?Smoothie King Center",2013 New Orleans VooDoo season,1.61
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Kang Nam-gil,0.77
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Clive Rowe,1.03
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Larry Linville,2.16
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Fisher Stevens,0.86
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Ashcan School,0.39
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Ben Wong,1.14
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Jake Roberts (editor),0.96
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,School Spirit,1.13
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Brad Hawkins,0.81
What is the actor who starred in School Spirit best known for?surgeon Major Frank Burns,Nichola McAuliffe,1.11
In what country is both Faxe and Heineken brewed in?Denmark,Viru (beer),1.48
In what country is both Faxe and Heineken brewed in?Denmark,Piton (beer),1.55
In what country is both Faxe and Heineken brewed in?Denmark,Royal Unibrew,1.78
In what country is both Faxe and Heineken brewed in?Denmark,Killian's,1.55
In what country is both Faxe and Heineken brewed in?Denmark,Dačický,1.51
In what country is both Faxe and Heineken brewed in?Denmark,Heineken Premium Light,1.46
In what country is both Faxe and Heineken brewed in?Denmark,Faxe Brewery,1.65
In what country is both Faxe and Heineken brewed in?Denmark,Beamish and Crawford,1.4
In what country is both Faxe and Heineken brewed in?Denmark,Red Stripe,1.31
In what country is both Faxe and Heineken brewed in?Denmark,Mützig,1.32
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Maarten de Jonge,0.9
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Houssenaly Zahid Raza,0.6
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Joint Agency Coordination Centre,0.73
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",The Vanishing Act,0.68
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",The Conspiracy Files,0.5
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Boeing 777,1.35
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Malaysia Airlines Flight 17,1.08
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Timeline of Malaysia Airlines Flight 370,1.08
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Malaysia Airlines Flight 370,1.34
"What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?""Triple Seven""",Hishammuddin Hussein,0.67
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",The Now Show,1.57
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",The Penny Dreadfuls Present...,1.32
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",I'm Sorry I Haven't a Clue,1.23
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",The Hitchhiker's Guide to the Galaxy,1.07
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",Colin MacDonald (writer),0.7
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",Down the Line (radio series),1.57
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",Babblewick Hall,1.05
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",Sue Perkins,1.6
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich",The House of Milton Jones,1.15
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?East Dulwich","Fags, Mags and Bags",1.22
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Tyaughton Lake,0.97
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Bridge River Country,1.32
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Bralorne,2.75
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Dvoinoye Gold Mine,1.95
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Minto City,1.53
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",South Kalgoorlie Gold Mine,2.24
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Dome Mine,3.07
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Crisson Mine,1.9
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Cadwallader Creek,1.57
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?Bralorne",Gold Bridge,2.4
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Death and Life,1.7
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Judith and the Head of Holofernes,1.29
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Danaë (Klimt painting),1.65
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Egon Schiele,1.88
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Gustav Klimt,1.89
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Anne-Marie O'Connor,1.42
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Hope I,1.15
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Portrait of Adele Bloch-Bauer I,1.36
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Portrait of Wally,1.25
 Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?raw sexuality,Portrait of a Lady (Klimt),1.6
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Stephen Williams (footballer),2.5
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Paso Robles High School,0.47
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Lutheran High School of Hawaii,0.92
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Immanuel College (Australia),2.58
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Lutheran South Academy,0.76
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Coonalpyn Lutheran Church,1.13
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Evergreen Lutheran High School,0.86
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Faith Lutheran Middle School &amp; High School,1.01
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Lutheran High School South,0.83
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?Immanuel College",Concordia College (South Australia),1.36
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Lunar plaque,1.44
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Apollo 13 (film),1.5
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Fred Haise,1.44
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Jeffrey Kluger,1.16
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Michael A. Baker,0.95
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Jerry M. Linenger,1.29
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Jim Lovell,2.73
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",John L. Phillips,0.9
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Lost Moon,1.91
"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?March 25, 1928",Alan Bean,1.34
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,Middlebox,1.05
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,Unidirectional network,0.97
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,Media Player Classic,1.42
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,Amazon Fire TV,1.88
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,Juice Box,1.11
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,TV (software),2.12
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,Apple TV,3.49
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,Apple Inc.,2.22
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,VLC media player,1.6
What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?Apple TV,ITunes,2.55
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Masato (kickboxer),1.3
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Leroy Kaestner,1.46
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Jordan Tai,1.52
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Mustapha Haida,1.55
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",K-1 World MAX 2006 World Championship Final,1.33
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Hiroki Nakajima,1.25
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Buakaw Banchamek,1.0
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Abraham Roqueñi,2.34
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Andy Souwer,2.82
"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?2005, 2007",Albert Kraus,1.4
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Sergeant Major of the Army (Denmark),1.32
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Other ranks (Denmark),1.18
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Royal Danish Army,1.72
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Chief of Defence (Denmark),1.04
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Free Corps Denmark,1.73
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Jaeger Corps (Denmark),2.96
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Signal Regiment (Denmark),1.2
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,List of military aircraft of Denmark,1.18
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Special Operations Command (Denmark),2.58
Which part of SOKOM was formerly of the Royal Danish Army?Jaeger Corps,Guard Hussar Regiment (Denmark),1.7
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,Darwin (programming game),2.05
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,Martin Richards (computer scientist),1.54
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,SystemVerilog DPI,1.31
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,Ken Thompson,1.86
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,Dennis Ritchie,1.56
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,Objective-C,1.56
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,Embedded C,1.48
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,Cg (programming language),1.52
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,The C Programming Language,2.09
Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?Bell Labs,BCPL,1.62
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",Mischa Berlinski,1.57
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",Fieldwork (novel),1.9
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",Arnold Rampersad,0.94
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",C. K. Williams,1.07
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",In the Country of Men,1.18
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",Philippine National Book Awards,0.85
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",Sara Zarr,1.0
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",Robert Hass,0.95
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",Denis Johnson,1.63
"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?Denis Johnson",David Kirby (poet),1.07
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Michelle Paige Paterson,1.31
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Catastrophe (book),0.79
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Thomas E. Donilon,0.88
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Lawfare (blog),0.55
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Jean Guy,1.19
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,United States Senate career of Hillary Clinton,1.1
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Climate Change Science Program,0.82
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,List of First Ladies of the United States,1.63
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Ann O'Leary,1.56
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?United States Secretary of State,Vanda Pignato,1.08
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Somebody (Bonnie McKee song),0.89
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",King of the Corner,1.21
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",You Got Served,1.03
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Kinky Business,1.0
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Hellboy II: The Golden Army,1.12
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Kingpin (TV series),1.15
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Ya nunca más (film),0.82
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Kinky (Kinky album),1.25
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Man on Fire (2004 film),0.99
"Who directed the 2004 film that featured ""Más"" by Kinky?Tony Scott",Glitterati (film),0.98
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,James Menteath,1.06
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,John Aglionby (divine),0.89
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,Mitford Mitchell,1.44
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,James MacGregor Burns,0.82
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,MacGregor baronets,0.99
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,George V,1.34
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,Fulton MacGregor,0.97
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,James MacGregor (moderator),1.63
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,James V. Downton,0.61
What king to whom Rev James MacGregor was made chaplain died in 1936?George V,Evan MacGregor,1.16
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Tom Burke (American football),0.91
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Troy Edwards,0.92
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Dat Nguyen,1.02
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Troy Davis (running back),0.94
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Kareem Moore,1.29
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Jim Dombrowski,0.92
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Texas A&amp;M Aggies football,1.38
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Trev Alberts,0.94
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Juan Roque,0.91
With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  Western Division,Damontre Moore,1.28
What is the best-seller by Ruta Sepetys?Between Shades of Gray,La Ruta Moskitia Ecotourism Alliance,0.38
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Salt to the Sea,0.86
What is the best-seller by Ruta Sepetys?Between Shades of Gray,La Ruta de los Conquistadores,0.18
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Out of the Easy,1.28
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Ruta graveolens,0.58
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Ashes in the Snow,2.95
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Between Shades of Gray,1.61
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Dora Levy Mossanen,0.88
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Jay Papasan,0.49
What is the best-seller by Ruta Sepetys?Between Shades of Gray,Ruta Sepetys,1.47
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,Quicksilver Ventures,0.76
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,Super PLAY,1.18
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,GamePro,1.87
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,International Data Group,1.07
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,GamePlay (magazine),1.42
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,Sega Visions,1.24
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,IDG (disambiguation),0.92
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,Bazinama,1.6
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,Aktueller Software Markt,1.53
What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?GamePro,Venture Capital Journal,1.18
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Pierre Womé,1.6
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Carlos Barrionuevo,1.08
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Sport in Munich,0.96
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Sheffield United F.C. league record by opponent,0.79
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",List of English and Welsh cricket league clubs,0.66
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Obafemi Martins,1.9
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Neil Mochan,1.23
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Stade des Alpes,0.73
"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?his speed on the ball",Walter Silvani,1.09
