question,passage_title,sia_score
What episode in the science-fiction series that is on Fox was the character David Robert Jones introduced?the seventh episode,David R. Jones (biologist),1.33
What episode in the science-fiction series that is on Fox was the character David Robert Jones introduced?the seventh episode,Ability (Fringe),1.18
What episode in the science-fiction series that is on Fox was the character David Robert Jones introduced?the seventh episode,"David Jones (Global CEO, Havas)",0.75
What episode in the science-fiction series that is on Fox was the character David Robert Jones introduced?the seventh episode,The End of All Things,1.38
What episode in the science-fiction series that is on Fox was the character David Robert Jones introduced?the seventh episode,Jared Harris,1.08
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown",Thunder (comics),0.58
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown",The Go-Katz,0.59
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown","The X-Filez, Vol. 1",1.5
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown",Plan B (duo),1.06
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown",24-7 Spyz,0.82
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown",Consejo Mundial de Lucha Libre roster,0.39
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown",X-Raided,2.39
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown","The X-Filez, Vol. 2",1.54
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown",Dollar Bill (group),0.77
"What is the real name of the rapper who made the album ""The X-Filez, Vol. 1""?Anarae Brown","The X-Filez, Vol. 3",1.53
What beer led ot the creation of Cream ale?Beer in Canada,Kilkenny (beer),1.26
What beer led ot the creation of Cream ale?Beer in Canada,Swamp Head Brewery,1.29
What beer led ot the creation of Cream ale?Beer in Canada,OpenRoad Brewery,1.56
What beer led ot the creation of Cream ale?Beer in Canada,Genesee Cream Ale,1.45
What beer led ot the creation of Cream ale?Beer in Canada,Cameron's Brewing Company,1.86
What beer led ot the creation of Cream ale?Beer in Canada,Kentucky common beer,1.93
What beer led ot the creation of Cream ale?Beer in Canada,Heavy Seas Beer,1.11
What beer led ot the creation of Cream ale?Beer in Canada,Cream ale,2.95
What beer led ot the creation of Cream ale?Beer in Canada,Rocket Republic Brewing Company,1.34
What beer led ot the creation of Cream ale?Beer in Canada,Beer in Canada,2.01
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,The Pilot's Wife,1.09
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Lemmons,1.43
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Sea Glass,1.11
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Jane Emily Herbert,0.61
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,The Weight of Water (film),0.7
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Resistance (2003 film),0.61
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Fortune's Rocks (novel),1.07
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Elizabeth Jane Howard,1.09
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Falling (Howard novel),1.03
Are Anita Shreve and Elizabeth Jane Howard the same nationality?no,Anita Shreve,0.99
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Juarez 2045,1.01
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Transformers: Revenge of the Fallen,0.85
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Transformers (film series),1.58
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",James Cameron filmography,0.8
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Bumblebee (film),1.52
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Travis Knight,3.64
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Kubo and the Two Strings,1.61
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Meg (film),1.19
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Colin Brady,1.2
"Bumblebee, is an upcoming American science fiction action film directed by Travis Andrew Knight, an American animator, film director, and producer, known for working as the lead animator for which organization, and for directing ""Kubo and the Two Strings""?Laika Entertainment",Arianne Sutner,2.04
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",The Dark Tower: The Sorcerer,1.66
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",Robin Furth,1.21
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",The Dark Tower: The Wind Through the Keyhole,1.0
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",Crimson King,0.96
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",All-World,1.98
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",Hooop!,2.2
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",Almoayyed Tower,0.91
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",The Dark Tower II: The Drawing of the Three,1.46
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",The Dark Tower (series),1.33
"Which board game was produced first, Hooop! or Dark Tower?Dark Tower",Dark Tower (game),1.83
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",She Cried No,1.35
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",Zack Morris,2.39
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",Saved by the Bell,1.15
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",12 Dates of Christmas,0.95
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris","John Clark, Jr.",1.42
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",The Princess and the Marine,1.4
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",List of Franklin &amp; Bash episodes,0.91
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",The House Next Door (2006 film),1.12
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",Mark-Paul Gosselaar,2.2
"Which fictional charactor from ""Saved by the Bell"" is played by Mark-Paul Harry Gosselaar?Zack Morris",Precious Cargo (film),0.99
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,Edwin Orion Brownell,1.01
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,Basil Hallam,1.3
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,Phillip Boykin,0.87
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,Robert Emmett Keane,0.9
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,Sam Stryke,0.81
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,The Passing Show of 1918,1.17
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,George Gershwin,1.85
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,The Passing Show of 1916,1.94
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,The Passing Show,1.11
Which opera did this American composer and pianist whose Broadway show songs were included in The Passing Show of 1916 compose?Porgy and Bess,George Handy,1.26
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",2004–05 FC Barcelona season,0.94
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",Lionel Messi,0.81
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",Adolfo Martín González,0.64
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",2007–08 La Liga,1.28
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",List of La Liga stadiums,1.25
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",2010–11 La Liga,1.29
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",List of Real Madrid C.F. players,1.15
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",2011–12 Real Valladolid season,0.93
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",Ferdinand Daučík,0.78
"Which ended on an earlier date in May of its corresponding year, 2010–11 La Liga or 2009–10 La Liga?2009–10 La Liga",2009–10 La Liga,1.41
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Pryor Mountains Wild Horse Range,2.17
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Medicine Lake National Wildlife Refuge,1.73
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Old Sandwich Town,0.56
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Pryor Mountain Mustang,2.2
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Bighorn Canyon National Recreation Area,1.7
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Lamar Buffalo Ranch,1.72
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Lake Merritt,1.14
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Two Brothers Rocks–Dudley Road Historic District,0.89
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Audubon National Wildlife Refuge,1.66
The refuge for a historically significant herd of free-roaming Mustangs is close to what lake? Bighorn Lake,Mustang,2.01
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Water Curses,1.11
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Maritime (band),1.14
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Nicolas Vernhes,1.9
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,The War on Drugs (band),1.62
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Rookie of the Year (band),1.17
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Adam Waito,1.51
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,The Bye Bye Blackbirds,1.14
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Rainwater Cassette Exchange,1.14
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Monomania (album),1.52
What Adam Granduchel fronted indie rock band has Nicolas Vernhes produced records for?The War on Drugs,Painfully Midwestern Records,1.07
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Jay &amp; Silent Bob's Super Groovy Cartoon Movie,1.96
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Shannon Elizabeth,1.46
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Jay and Silent Bob Strike Back,1.69
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Kevin Smith,1.46
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Bluntman and Chronic,1.36
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Fred Entertainment,0.94
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Rip It Off (Stroke 9 album),0.8
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",Tell 'Em Steve-Dave!,0.87
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",James L. Venable,0.86
"Who directed a 2011 comedy-drama film about a chance meeting between two strangers starring an actress who has also appeared in: ""American Pie"", ""Scary Movie"" and ""Jay and Silent Bob Strike Back""?Allie Dvorin",A Novel Romance,1.89
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",TFI International,0.78
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Bartlesville Monthly Magazine,1.34
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Osgoode Main Street,0.89
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Lesbian pulp fiction,0.83
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Our Big Kitchen,0.61
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Goldmine (magazine),0.88
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Kakisa,0.87
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Star Slinger,0.44
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Y'all (magazine),1.06
"Which magazine was based out of a community closer to Canada, Goldmine or Y'all?Goldmine",Dine (magazine),1.18
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",Sandy Hollow–Gulgong railway line,1.4
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory","South Coast railway line, New South Wales",1.81
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",Southern Highlands Line,1.76
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",NSW TrainLink,1.63
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",Wallsend railway line,1.41
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",John Whitton,1.36
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory","Woodford, New South Wales",1.16
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",Bogan Gate–Tottenham railway line,1.38
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",Parkes–Narromine railway line,1.19
"Where does the railway line that provides services in Woodford, New South Wales extend to? Victoria, Queensland and the Australian Capital Territory",Coonamble railway line,1.36
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,Second Fiddle (1957 film),1.53
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,The Truth About Women,1.62
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,Charlie Chaplin,1.23
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,A King in New York,1.69
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,The Smallest Show on Earth,1.35
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,True as a Turtle,1.17
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,Not Wanted on Voyage,1.6
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,Lucky Jim (1957 film),1.49
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,The Admirable Crichton (1957 film),1.37
 A King in New York is a 1957 British comedy film directed by and starring an English comic who rose to fame in what era?silent film,Brothers in Law (film),1.47
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Birchgrove ferry wharf,1.53
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Aquarium ferry wharf,1.52
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,List of Sydney Ferries wharves,1.18
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Kissing Point ferry wharf,1.6
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Barangaroo ferry wharf,1.26
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Milsons Point ferry wharf,1.42
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Greenwich Point ferry wharf,1.66
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Luna Park Sydney,2.06
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Balmain ferry wharf,1.66
What type of park is the park that is located by the Mislon Point ferry wharf?an amusement park,Huntleys Point ferry wharf,1.06
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",S. P. Hinduja,1.05
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Ethel V. Mars,1.25
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Mars to Stay,0.98
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Gopichand Hinduja,1.09
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Malik Riaz,1.02
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Forrest Mars Sr.,1.31
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Mars Nederland,1.04
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Forrest Mars Jr.,2.15
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Franklin Clarence Mars,1.74
"What is the  2015 estimated wealth of Franklin Clarence Mars, founder of Mars, Incorporated?$26.8 billion",Jacqueline Mars,1.64
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2015–16 Toronto Raptors season,1.35
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2006–07 Toronto Raptors season,1.29
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2017–18 Toronto Raptors season,1.35
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2010–11 Toronto Raptors season,1.13
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2013–14 Toronto Raptors season,1.34
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2007–08 Toronto Raptors season,1.41
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,Hakeem Olajuwon,1.01
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2012–13 Toronto Raptors season,1.25
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2014 Rafael Nadal tennis season,0.65
In which year was this player born who announced his retirement due to a back injury early in the season during the unfortunate 2002–03 Toronto Raptors season?1963,2002–03 Toronto Raptors season,1.36
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,Armed Forces of Serbia and Montenegro,0.52
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,Spanish Armed Forces,0.58
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,USS Elrod (FFG-55),2.66
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,Italian Armed Forces,0.62
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,Armed Forces Conduct Medal,0.98
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,Rank Pay,0.7
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,September 16 military parade,0.5
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,Henry T. Elrod,1.59
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,2010 Kiev Victory Day Parade,0.38
 USS Elrod was named after the Captain who enlisted in what part of the armed forces in 1927?Marine Corps,Senior enlisted advisor,1.37
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District","Lucky Street, Beijing",1.09
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District",Tumen Border Bridge,1.16
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District",Hao Kuih,1.03
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District",Jieyang Chaoshan International Airport,1.49
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District","Haimen, Guangdong",1.28
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District",Guangzhou–Meizhou–Shantou Railway,1.58
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District",Shantou Jinshan Middle School,1.13
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District","Tumen, Jilin",1.11
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District","Chaoyang District, Shantou",2.96
"Which is part of the Guangdong Province, Tumen, Jilin or Chaoyang District, Shantou?Chaoyang District",Haojiang District,1.3
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Don't Know Why,0.89
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Hanson (band),0.64
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Jeff Phillips (singer),0.7
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Pat Boone,1.23
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Mexico (instrumental),1.35
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Poison discography,1.09
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Poison (American band),0.7
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,A Song of Joy,1.08
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Elton John,0.72
This successful pop singer who sold more than 45 million records collaborated with the musician of what song that reached Top 40 in 1961?Mexico,Used Heart for Sale,0.67
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Confessions of a Serial Killer,2.4
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Ottis Toole,1.02
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Leszek Pękalski,1.42
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Abu Musallam incident,0.86
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Charles Cullen,1.18
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Sture Bergwall,1.11
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",List of serial killers by number of victims,1.64
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Stewart Wilken,1.05
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Cold North Killers: Canadian Serial Murder,1.36
"Who directed the 1985 film that details the serial killer who claimed to have killed over 3000 people, and who's confessions often contained inconsistencies or improbable logistics?Mark Blair",Henry Lee Lucas,1.72
"Joyner Lucas (born August 17, 1988), is an American rapper from Worcester, Massachusetts currently signed to Atlantic Records, he released his fourth mixtape and first on a major label, on June 16, 2017, by Atlantic Records, titled what?508-507-2209",Money Longer,1.02
"Joyner Lucas (born August 17, 1988), is an American rapper from Worcester, Massachusetts currently signed to Atlantic Records, he released his fourth mixtape and first on a major label, on June 16, 2017, by Atlantic Records, titled what?508-507-2209",Cardi B discography,0.94
"Joyner Lucas (born August 17, 1988), is an American rapper from Worcester, Massachusetts currently signed to Atlantic Records, he released his fourth mixtape and first on a major label, on June 16, 2017, by Atlantic Records, titled what?508-507-2209",508-507-2209,2.93
"Joyner Lucas (born August 17, 1988), is an American rapper from Worcester, Massachusetts currently signed to Atlantic Records, he released his fourth mixtape and first on a major label, on June 16, 2017, by Atlantic Records, titled what?508-507-2209",Joyner Lucas,2.64
"Joyner Lucas (born August 17, 1988), is an American rapper from Worcester, Massachusetts currently signed to Atlantic Records, he released his fourth mixtape and first on a major label, on June 16, 2017, by Atlantic Records, titled what?508-507-2209",Beautiful Thugger Girls,1.49
"Joyner Lucas (born August 17, 1988), is an American rapper from Worcester, Massachusetts currently signed to Atlantic Records, he released his fourth mixtape and first on a major label, on June 16, 2017, by Atlantic Records, titled what?508-507-2209",Amir Obè,1.25
"Joyner Lucas (born August 17, 1988), is an American rapper from Worcester, Massachusetts currently signed to Atlantic Records, he released his fourth mixtape and first on a major label, on June 16, 2017, by Atlantic Records, titled what?508-507-2209",Maybach Music Group,1.1
