question,sentence,sia_score
What can decompose wood?,Mushrooms are organisms known as fungi.,2.27699999999999
"What uses sounds, chemicals and visual cues?",Monkeys are wild animals.,2.021
What do animals use as a food course?,Heterotrophs get food by eating other living things.,2.025
"What are hosted, but don't usually kill their host?",Tapeworms are internal parasites of vertebrates.,2.156
Which unit could a graduated cylinder measure in?,a graduated cylinder is used to measure volume of a liquid,2.479
what can cause harm to the eyes?,vinegar can cause harm to the eyes,2.665
What is a result of genetic material being exchanged during reproduction?,sexual reproduction increases genetic diversity,2.344
What feed on plankton and nonliving organic matter?,Bivalves feed on plankton and nonliving organic matter.,2.738
What does fur do?,preventing the transfer of heat from an organims 's body causes that organism to keep warm,2.108
An organism may die if an organism does what?,Some models overheat.,2.449
_have the amazing capacity to regrow segments that break off.,Annelids have the amazing capacity to regrow segments that break off.,2.7
What can require replacing the forest home of martens?,building housing developments usually requires replacing animal habitats,2.207
What can cells do only a certain number of times?,Cells are programmed to divide only a set number of times.,2.089
The interior chambers have tiny what that trap the particles,Collar cells have tiny hairs that trap the particles.,2.549
Organelles involved in cell division come in what groups?,Centrioles are organelles involved in cell division.,2.285
what can blow air?,Referee's whistle blows.,2.029
vertebrates have a complete digestive system and a what?,Circulatory systems can be open or closed.,2.691
Keeping food fresh is a major user of what?,Electricity is electricity.,2.074
Vesicle transport is a form of _.,Active transport is another form of diffusion.,2.856
What involves a sperm and egg fusing to form a diploid zygote?,Reproduction is sexual.,2.52699999999999
when is timing critical?,Fertilization occurs when a sperm and an egg fuse.,2.65
What transports oxygen to the brain?,Blood carries oxygen to the brain.,2.23599999999999
Water vapor doing what causes clouds or rain?,water vapor cooling causes that water vapor to condense,2.425
"When a gas in an open container spreads out, what presents a danger?",Fumes Exhaust fumes can be dangerous.,2.31
What do echinoderms employ to grip surfaces?,Echinoderms and molluscs use adhesives to grip the substrate during locomotion.,2.737
A measuring cup is used for measuring?,a measuring cup is used for measuring the volume of substances,2.545
A cactus stem is used for storing what?,a cactus stem is used for storing water,2.639
what does a radio convert into vibrations?,a radio converts electrical energy into vibrations,2.49
What happens to your leg when muscle fibers shorten?,Muscle contraction occurs when muscle fibers get shorter.,2.278
What has an enlarged cummerbund-like band that goes through a major transformation?,Adult worms go through a major transformation to develop reproductive organs.,2.169
What is soil erosion?,soil erosion means soil loss through wind,2.58699999999999
What can be produced by capturing water at high tide?,Tidal energy schemes capture water at high tide and release it at low tide.,2.405
Where can not survive in a desert?,an aquatic animal requires great amounts of water to survive,2.407
What can a prism do to sunlight?,refracting sunlight causes sunlight to split into different colors,2.816
What prevents the destruction of tooth enamel?,Tooth decay is a destruction of the tooth enamel.,2.23599999999999
The runaway greenhouse effect present on Venus makes what unlikely?,Venus is thought to be hot because of the runaway greenhouse effect.,2.309
What helps hawks fly?,Feathers help birds fly and provide insulation.,2.25
What do mutations do to DNA?,Mutations may change the structure of a chromosome or just change a single nucleotide.,2.19
trees can be dispersed by,if seeds stick to the fur of an animal then that seed will be transported by the animal,2.383
One of the oldest forms of energy used by humans can be used to produce what?,Tidal energy is one of the oldest forms of energy used by humans.,2.736
What has good eyesight and a keen sense of smell?,Reptiles include crocodiles.,2.02
Organisms that live in marine biomes must be adapted to what?,Organisms that live in marine biomes must be adapted to the salt in the water.,2.439
What enables bones to perform movement?,Contractions Use contractions.,2.066
What leaves the body upon relaxation of a muscle?,Urination requires relaxation of the sphincter muscle.,2.329
What can cause sinkholes?,sinkholes are formed by precipitation,2.839
What does the pancreas help cells take up from the blood?,Insulin helps cells take up glucose from the blood.,2.376
What does a sponge's specialized cell do when it picks up planktonic food?,Special cells called collar cells pick up the planktonic food and start the digestive process.,2.546
What animal gives live birth?,"Sharks have internal fertilization, and most give birth to live young.",2.738
What is fourty percent of the total mass of organisms at a trophic level?,Biomass is the total mass of organisms at a trophic level.,2.407
what are steroid hormones made of?,Lipids Lipids are diverse hydrophobic molecules.,2.441
what causes the speed of an object to decrease,friction causes the speed of an object to decrease,2.778
Secondary meristem is located within and around what?,Vascular tissue is a conducting tissue type.,2.27
what is a stationary object?,"If an object is at equilibrium, then the forces are balanced.",2.07
what adults are barrel-shaped?,"Tunicates, or sea squirts, are marine organisms covered with a gelatinous tunic.",2.039
Adult tulip bulbs are what shape?,Adult tunicates are barrel-shaped.,2.562
Where do plants lose water to?,Plants lose water continually by transpiration.,2.287
Toxic food causes harm to what?,poison causes harm to living things,2.467
What may live in large colonies?,"Like other ants, the fire ant is a social insect.",2.461
What can shed their leaves?,Shade trees provide shade in summer.,2.173
Aggression is behavior that is intentionally what?,Aggression is behavior that is intended to cause harm or pain.,2.419
What keeps mammals warm?,Bats have hair like all mammals so they can stay warm.,2.133
What occurs when haploid gametes unite?,Haploid gametes unite to form diploid zygote.,2.65199999999999
When does haze get denser?,fog is formed by water vapor condensing in the air,2.025
Electricity is used for energy by what?,"Of course, computers are electronic devices, and as such, they deal in electrical terms.",2.08699999999999
what happens if a neutral atom loses an electron?,Negative charges are attracted to positive charges.,2.455
What collects fluid?,Capillaries are small.,2.51
"Proteins, nucleic acids and chlorophyll are found in what?",Excess nitrogen causes lush growth and late plants.,2.19599999999999
Adult sponges produce sperm and what other sex cell?,Female gametes are called eggs.,2.303
Fungus used to bake bread reproduce asexually by doing what?,"Yeast, which is a type of fungus, is used by bakers to make traditional bread.",2.331
Bees and other insects are attracted on purpose by what?,Flowers attract animal pollinators.,2.154
What can cause harm to an organism?,electrocution causes harm to an organism,2.10699999999999
A valley is formed by what in the wilderness?,Rivers flow in the wilderness.,2.191
"How do fine, dusty particles in the atmosphere  erupted from volcanoes lower the temperature?","Most volcanic ash consists of fine, dusty particles.",2.306
a rubber band snapping causes the particles in the rubber band to cause what?,Sound Sound waves are mechanical waves.,2.164
what has a negative impact on the environment?,Landfills are a designated place where garbage is buried underground.,2.178
What increase the amount of nutrients in loam?,decomposition increases the amount of nutrients in the soil,2.832
Organisms cluster around hot water inside cracks where?,Background Hot water vents form inside cracks in the ocean floor.,2.889
How are rainbows formed?,Rainbows are formed when sunlight is refracted through raindrops.,2.447
What during reproduction develop into new haploid individuals without being fertilized,Fungi spores can develop into new haploid individuals without being fertilized.,2.643
What does potassium help an animal do?,Potassium is an essential nutrient for plants and animals.,2.131
What can help prokaryotes move?,Flagella help prokaryotes move.,2.303
What do radiators use to heat buildings?,Oil is oil.,2.083
Specialization occurs when competing species evolve techniques to what?,Instructional techniques are adapted to accommodate differences.,2.702
What can be used in wiring as a conductor?,"Metals, such as copper wire, are good conductors for carrying electric current.",2.418
Lymphocytes are the key cells involved in what?,Lymphocytes are the key cells involved in the immune response.,2.386
What will be the result of female sperm fusing with an egg to form a diploid zygote?,Fertilization occurs when a sperm and an egg fuse to form a diploid zygote.,2.747
What does frozen water break?,Water in the rocks pushes out when it freezes thus causing the rocks to break.,2.532
amphibians are the first true what with four limbs?,Animals with backbones are called vertebrates.,2.32
what gets energy from sunlight?,An ecosystem includes the organisms and their habitat.,2.23599999999999
using firewood for homes allows what to become available to the surrounding plants,if a tree falls then sunlight becomes available to the surrounding plants,2.084
What's one common unit for measuring the length of an object?,Rulers are divided into inches and fractions of inches.,2.269
what does erosion form?,most canyons are formed by flowing rivers through erosion over long periods of time,2.392
Snow falls on the _ side of the mountain range,"Any precipitation is snow, that's for sure.",2.119
What helps an animal move through a river better?,Tails are long.,2.174
where does light enter the eye?,On a minus lens it is on the front and on a plus lens it is on the back.,2.293
Stiff hairs on the face are used for what by animals?,whiskers are used for feeling by animals,2.239
What did the dinosaur group dromaeosaurs evolve into?,Birds evolved from a group of bipedal dinosaurs called theropods.,2.333
Conserving what can be used for survival in a dry environment?,conserving water can be used for survival in a dry environment,2.776
What has a negative impact on the environment?,landfills have a negative impact on the environment,2.651
What type of bipedal dinosaurs are birds like?,Dromaeosaurs are part of the theropod group of dinosaurs.,2.399
What can cause landslides?,erosion can cause a landslide,2.164
What do rain forests reduce?,Soil loss from heavy rain and wind is decreased.,2.627
Bad weather decreases what aspect of driving?,bad weather decreases visibility while driving,2.33
Wind and rain contribute to a process that can change what?,wind and rain cause erosion,2.075
what does extreme heat and pressure change rock into?,extreme heat and pressure change rock into metamorphic rock,2.863
a tape measure is used to measure what?,a tape measure is used to measure length,2.613
What can be used for transportation?,Boat trailer permits.,2.324
Roundworms reproduce using meiosis and what?,Roundworms reproduce sexually.,2.45
What cools the skin?,"Sweat wets the skin, and when it evaporates, it cools the body.",2.43
"What type of evolution is very, very slow above the level of the species?",Macroevolution is controversial.,2.13
Mercury cannot sustain life because it is,if a planet becomes too hot then that planet cannot sustain life,2.186
What are used to illuminate small objects to look larger?,Electron microscopes use a beam of electrons as their source of illumination.,2.069
Rust of iron in rocks is a direct result of,"When iron oxidizes it produces iron oxide, more commonly referred to as rust.",2.552
Cell walls relax and increase the flow of what?,Dilation occurs when cell walls relax.,2.083
What re the only organisms that can decompose biodegradable products?,Fungi are the only organisms that can decompose wood.,2.674
What can cause objects to push away each other?,magnetism can cause objects to repel each other,2.603
a what has the purpose to produce for propagation,"Seed production is good, and propagation is by seeding.",2.26
what does a solar panel convert sunlight into?,Electricity is electrons in motion.,2.389
What do Xerophytes do to adapt to dry environments?,Plants that have adapted by altering their physical structure are called xerophytes .,2.653
What does a barometer determine?,a barometer is used to measure air pressure,2.57
Plants lacking roots and stems cause what?,moss causes chemical weathering,2.49
What is aging associated with?,Aging is associated with the death of cells.,2.011
Viral and what disease can both be caused by injury of the lungs,Pneumonia may be caused by an infection or injury of the lungs.,2.452
What can harm animals?,pesticides can cause pollution,2.015
using an what requires burning flammable liquid,using a gasoline engine requires burning gasoline,2.68399999999999
When stretched too thin what kind of bands will vibrate?,a rubber band snapping causes the particles in the rubber band to vibrate,2.082
hormones control many cell activities and are important to what?,Homeostasis is the chemical equilibrium of the body.,2.18
what requires oxygen for cellular respiration?,Fungi are aerobic organisms.,2.15199999999999
Where does absorption of fat and protein mainly occur?,"Fat, like protein, is a nutrient.",2.038
How do you reduce pollution?,Use of resources affects the environment such as pollution.,2.182
What affect small organelles where proteins are made?,Many antibiotics affect the ribosome.,2.291
What happens when soil is exposed to wind?,Erosion Soil erosion is the detachment and movement of soil materials by wind or water.,2.305
A method of heating a building might be what?,energy is used for heating a building by a heating system,2.25699999999999
What is one result of reducing the heat energy of body parts?,Frostbite is the freezing of body parts.,2.505
what converts wind energy into electricity,Windmills are machines operated by windpower.,2.594
generating heat by what occurs at power stations,coal is used for generating heat by burning,2.325
What is secreted by plasma cells (activated B cells) ?,Antibodies are also called gammaglobulins.,2.12
An image in a mirror reflects what?,an image in a mirror is formed by reflecting light,2.307
What are used as protection by sea anemones?,Poison dart frogs are the source of a toxin used by natives on their poison darts.,2.308
what does ground tissue make up most of the interiof of?,Ferns are one type of seedless plant.,2.21
Most people can survive only a few days without what?,Most people can survive only a few days without water.,2.098
"What are some examples of radial, tentacled animals that live mostly in the seas?",Cnidarians are invertebrates such as jellyfish and corals.,2.316
what do arteries carry?,Oxygen-rich blood is bright red.,2.518
What has a negative impact on an organism?,intense heat has a negative impact on an organism,2.168
What can refract light?,Prism A prism is a solid geometric shape.,2.114
Which has a mutualism relationship?,Mutualism is a symbiotic relationship in which both species benefit.,2.327
What can be formed from cooling magma?,Students compare granite with granite saprolite.,2.349
Where does digestion happen?,Intestine consists of the small intestine and the large intestine .,2.51
The Earth being tilted on its axis causes solar energy to drive what?,Energy from the Sun drives Earth's weather system.,2.667
What do some worms do to their hosts?,"Some parasites kill their host, but most do not.",2.392
What can a certain protein affect in meat?,Collagen contributes to meat toughness.,2.339
What happens when the immune system recognizes a foreign substance?,Antibodies are produced to fight antigens.,2.039
Scientists study animal behavior through which of the following?,Many ethologists capture their observations on videotape or audio tape.,2.061
What does a fire require to burn?,Oxygen has  eight protons and eight electrons.,2.19
What do electric devices require to function?,"Electricity or electrical energy, is produced at a power plant.",2.454
What kind of rock is formed by deposition?,Limestone is a type of sedimentary rock.,2.822
What are ears used for?,"For sound, the sense of hearing is used.",2.546
Macroevolution most likely occurs over what period of time?,All geologic time can be divided into two eons.,2.00699999999999
what helps reduce acidity of food entering from the stomach?,Bile reduces the acidity of food entering from the highly acidic stomach.,2.81399999999999
What does rhizobial bacteria do for plants?,"Thus, organic- nitrogen is converted to nitrate nitrogen.",2.099
what move by waving?,Cilia wave in a coordinated way to move the protozoa in one direction.,2.055
extreme heat and pressure form a type of what?,Metamorphic Rocks Metamorphic Rocks Metamorphic rocks are formed by pressure and heat.,2.845
what makes metal orange?,"when a metal rusts , that metal becomes orange on the surface",2.716
A fight and flight response happens after an animal is what?,threatening behavior causes a fight-or-flight response in animals,2.731
An animal living where will be protected from an elemental part of the ecosystem?,if an animal lives under ground then that animal will be protected from a wild fire,2.121
How do electric stoves boil water?,"For example, it takes energy to boil water on the stove.",2.63199999999999
what are heterotrophs?,All animals are heterotrophs.,2.03
What does weathering do?,weathering means breaking down rocks from larger whole into smaller pieces by weather,2.852
plates in the earth do what which causes earthquakes,Fault zones are plates in the earth that slide and collide.,2.378
What does a refrigerator do?,"To keep food safe, it's important to keep cold foods cold.",2.638
What is involved in the cellular process of mitosis?,Centrioles are present.,2.27699999999999
What causes water to expand as it becomes ice?,Hydrogen bonds cause water to expand when it freezes.,2.885
What can be learned through play?,Most violent behavior is learned behavior.,2.139
When a mirror reflects photons it creates,An image is an image is an image.,2.206
What are some mountains caused by?,Some mountains are caused by erosion.,2.138
what continues to grow throughout their lives?,Roses are among the hardiest of all plants.,2.142
an objects color determines how much it is affected by what,An object's color determines how much solar energy it absorbs.,2.611
What can measure the force of air against a unit of area?,a barometer is used to measure air pressure,2.566
What effect do pathogens have.,disease-causing microbes have a negative impact on the body,2.435
What senses pressure?,"Thread-like nerves can sense pain, touch, temperature and pressure.",2.526
Mutations that lead to cancer usually effect genes that aid in what?,Mutations that lead to cancer usually occur in genes that control the cell cycle.,2.516
What results when an immune response to a pathogen produces memory cells?,Active immunity results when an immune response to a pathogen produces memory cells.,2.592
What spreads into the air from a liquid stored in an open container?,"when a gas in an open container evaporates , that gas spreads out into the air",2.793
Combustion is used to produce what,"Combustion-related, motor vehicles, wood burning, open burning, industrial processes.",2.23
what does a telephone help humans do over long distances?,Effective communication requires skills in conveying and receiving messages.,2.278
what helps cells to lower the blood sugar?,Exercise does burn glucose from the blood and can lower the blood sugar.,2.595
What is more complex in eukaryotes than prokaryotes?,Cell division is more complex in eukaryotes than prokaryotes.,2.436
Something critical for regulating oxygen from hemoglobin may become unbalanced if breathing is what?,"For example, blood pH is critical for regulating the binding and release of oxygen from hemoglobin.",2.13
what requires warmth for survival?,an animal requires warmth for survival,2.66
What allows one to sense and maintain body position?,Balance is the ability to sense and maintain body position.,2.233
What converts chemical energy into mechanical energy?,"Marine engines, with very few exceptions, are automobile engines converted to marine use.",2.429
What are proteins the building blocks of?,Cells are the microscopic building blocks of organisms.,2.064
what has a negative impact on the environment?,Desertification is accelerated.,2.23599999999999
What has a negative impact on the population size of a species?,harming an animal species has a negative impact on the population size of that species,2.189
What is erosion?,contact between rocks over long periods of time causes rocks to smooth,2.22
What happens during the period when humans become sexually mature?,Breasts develop during puberty .,2.469
Jellyfish and corals have no what?,Invertebrates have no vertebrae or backbone.,2.856
When does something receive sun?,"If there is sun, there is sunlight, there is day.",2.094
what can a circle graph be used to display?,Conversion of decimal to fraction and fraction to decimal.,2.403
What falls from lower to higher altitudes?,Temperature falls from lower to higher altitudes.,2.611
Animals will require moving habitats if what happens to the animal in a location?,Human disturbance is a factor.,2.131
What found in a place shows that animal or plant used to live in that place?,if fossils of an animal or plant are found in a place then that animal or plant used to live in that place,2.873
What are the basic units of the structure and are biodegradable?,"Organic materials, or living things, are biodegradable.",2.115
What is controlled by pushing on bike pedals?,Speed is speed.,2.224
How do species of Sarcocystis make humans sick?,Protozoa make humans sick when they become human parasites.,2.139
What can create carcinogens?,Electricity is energy.,2.426
what lacks a backbone?,"Invertebrates are animals that lack a vertebral column, or backbone.",2.01
Fire converts fuel into what?,Fuel has a chemical energy.,2.094
What have a complete digestive system and a closed circulatory system?,"Because reptiles are vertebrates, they are chordates.",2.04
What can be essential for fruit production?,nectar is used for attracting pollinators by plants,2.372
What is something cells cannot survive without?,Cells cannot survive without oxygen.,2.002
What is one way sediment can form?,Exfoliating is optional.,2.237
Medicine can cure humans when they are,Sick sick is physical.,2.062
Wind and rain can cause what?,"Soil erosion, or rather soil movement, is a natural process.",2.271
What results when an immune response to a pathogen produces memory cells?,Vaccination is Active Acquired Immunity.,2.333
rocks become hot very what,Heat conduction in rocks is very slow.,2.823
Most ecosystems get energy from what in the atmosphere?,Heat is heat.,2.42
Biomass is the total mass of organisms at a step in the what?,Each of the steps in the food chain is a trophic level .,2.397
what uses eyes for seeing by sensing light?,eyes are used for seeing by animals by sensing light,2.206
What happens if a plant gets too hot?,Plants often collapse and die during hot weather.,2.428
What could the last dodo birds not produce?,if all members of a species cannot produce offspring then that species will likely become extinct,2.106
if heat is conducted to an object then that object will what?,if heat is conducted to an object then that object will become hot,2.792
what occurs over geologic time above the level of the species?,Macroevolution requires adding new genes with special capability.,2.21
what can slowly dissolve carbon in sedimentary rock?,Flowing water can slowly dissolve carbon in sedimentary rock.,2.83
Tissue made of  what is used for feeling by animals?,whiskers are used for feeling by animals,2.015
What is gestation?,Pregnancy is the carrying of one or more offspring from fertilization until birth.,2.577
What does reducing heat change gas into?,condensing means changing from a gas into a liquid by reducing heat energy,2.741
What can make and store pigments?,Because fruit flies eat flower petals.,2.167
Echinoderms are resistant to some:,"Toxins are toxins, they say.",2.2
what is used as an energy source to electrical outlets,"Once a device is plugged into electrical outlets, it can communicate with other devices.",2.286
The cause of what doesn't grow by cell division?,Populations of viruses do not grow through cell division because they are not cells.,2.383
Oncogenes promote the division of cells with damaged what?,"DNA contains a person's unique, genetic fingerprint.",2.224
What do animals require to move?,an animal requires energy to move,2.083
Reflective glass is used for reflecting what?,Light is light.,2.21199999999999
What does the process of urination require?,Urination requires relaxation of the sphincter muscle.,2.895
What can sonar be used to find?,sonar is used to find the location of an object,2.654
what causes sweat to be produced to cool a person down?,Exercise is another way to battle cabin fever.,2.11
the health of what is positively impacted by having food?,having food has a positive impact on an organism 's health,2.735
What do heat coils convert into heat energy?,Heat is heat.,2.397
What can DNA contain the instructions for?,Protein is often referred to as a single nutrient.,2.07099999999999
what senses differences in temperature or pain?,Touch receptors are a type of mechanoreceptor.,2.182
"flukes, tapeworms, and turbell are",Flatworms Flatworms are bilaterally symmetric.,2.344
What do cells make up of organisms?,Cells are the basic units of the structure and function of living things.,2.46199999999999
what does a high pressure system cause?,Weather Clear weather usually means good visibility.,2.326
Some precipitation that falls on land may fill what?,Autumnal pools fill during the fall with rising groundwater.,2.5
what were formed by rock folding?,the Himalayas were formed by rock folding,2.476
Specialization occurs when competing creatures evolve as the what?,Specialization occurs when competing species evolve different adaptations.,2.821
polymers of various small chemically related molecules can squeeze through pores in the what?,RNA is a small molecule that can squeeze through pores in the nuclear membrane.,2.262
What causes animals to move to find shelter in another habitat?,Habitat destruction due to human interaction is a problem.,2.096
When do vein deposits of gold and silver form?,"When magma from deeper in the Earth comes up into the magma chamber, it inflates.",2.039
What does cow milk have that makes it nutritious?,Fluid milk is fortified with vitamin D and rich in calcium.,2.247
A thermal insulator does what to the convection in fluids?,Convection is the transfer of heat in fluids.,2.339
Humans have collected and grown what for food for thousands of years?,Mushrooms are an example of fungi.,2.334
what can communicate with chemicals called pheromones,Ants communicate with chemicals called pheromones.,2.647
what have varied life cycles?,Algae Algae Green algae are the simplest of green plants.,2.363
Force acting against motion causes what?,friction causes an object to lose energy,2.134
What might a porcupine do if threatened by a fisher?,threatening behavior by predators causes a porcupine to extend its quills,2.312
Where do mammals make urine?,Mammalian kidneys form urine in nephrons.,2.701
The molecules secreted by activated B cells are part of the:,Plasma cells are activated B cells that secrete antibodies.,2.522
What can polar bears do to generate heat?,Shivering is progress.,2.408
What is a diploid zygote the result of?,Sperm and unfertilized eggs are haploid.,2.523
what can a mirror be used to reflect?,Light seems to travel in rays or beams.,2.458
A polar bear does what to survive in its environment?,Polar bears grow fur to survive in the cold.,2.493
Animals require warmth as encoded on what?,an animal requires warmth for survival,2.365
What type of habitat can be formed by sediment moved downstream by water?,a sandbar is formed by water moving sediment downstream,2.156
What step are bees essential in during the sexual reproduction of plants?,Bees are absolutely essential for pollination.,2.17199999999999
What generally carries something bright red?,Arteries generally carry oxygen-rich blood.,2.039
What is one method of fixing DNA mutations?,DNA excision repair is a major cellular response to DNA damage.,2.367
What could occur should a person scrape themselves?,Infections occur as a result of contaminated wounds.,2.626
What has a positive impact on the environment?,recycling has a positive impact on the environment,2.674
The skin has points on it to feel what?,Pressure receptors are found mainly in the skin.,2.181
What do mollusks hearts circulate through the body?,Mollusks have a circulatory system with one or two hearts that pump blood.,2.656
How do echinoderms use their feet to locomote themselves?,Echinoderms have a hydraulic system of locomotion called the water vascular system.,2.52699999999999
What can affect the small organelles where proteins are made?,Many antibiotics affect the ribosome.,2.13
Acid rain can be a result of:,Sulfur in the coal becomes sulfur dioxide when burned.,2.126
What vary in size as well as shape and cannot be seen without a microscope?,Most cells are too small to be seen without a microscope.,2.65199999999999
what produces spores that develop into gametophytes?,"Rose is a rose is a rose is a rose, is a rose.",2.17199999999999
What field studies the formation of high mountains with well-rounded peaks?,Tectonics See plate tectonics .,2.48199999999999
What are used for breathing air by land animals?,Inside of the lungs are little sacks called alveoli.,2.011
Most pituitary hormones control other glands that secrete hormones into the what,Most pituitary hormones control other endocrine glands.,2.89899999999999
What do phones require to function?,Electricity is electricity.,2.427
what is added to propane to change it through the boiling process,boiling means change from a liquid into a gas by adding heat energy,2.559
what do most types of have nervous systems?,Most invertebrates have a nervous system.,2.819
What type of water do sea tigers live in?,Another animal that lives within the Marine Biome is a sea tiger.,2.012
"What does an organism require for blood flow to viscera, organs, and tissues?",an organism requires energy for growth,2.021
radioactive dating is used to determine the relative age of what?,"For sedimentary rock, fossils provide the relative age of deposition.",2.018
What is a biomass' position in the food chain called?,Trophic level refers to the organisms position in the food chain.,2.832
what allows for both asexual and sexual reproduction?,Alternation of generations allows for both asexual and sexual reproduction.,2.53
Millipedes lack what?,"For example, all vertebrates have a vertebral column.",2.47
"When electricity flows to a light bulb, the energy it uses becomes what?",Most of the energy a light bulb uses turns into heat.,2.825
what causes liquid to form?,condensing causes a liquid to form,2.178
Microbes can live on any surface that has not been what?,Any surface that has not been sterilized is likely to be covered with bacteria.,2.459
Different species such as what take up in the wetlands?,Herons are an indicator species for wetland communities.,2.551
Incandescents convert electricity into light and what,Light Bulbs Incandescent bulbs are available at the front desks.,2.272
What gives rise to offspring?,Reproduction is the process by which living things give rise to offspring.,2.288
What do mollusks have?,Mollusks are soft-bodied invertebrates.,2.828
Which of the following is sometimes  used to indirectly heat buildings?,Nuclear fission is the only method currently used by nuclear plants to generate electricity.,2.081
what is used for moving people across bodies of water?,Airplanes like Boeing 747 can take off and land on the airport.,2.10699999999999
What's one thing beavers require to survive?,an aquatic animal requires great amounts of water to survive,2.537
Milk is nutritious and prevents what?,Milk is a nutritious fluid.,2.598
What is used as an important survival trait by some animals?,hibernation is used for conserving energy by some animals,2.558
knowledge of what can replace maps while traveling on or off road,knowledge of the stars can be used to navigate,2.331
what usually has its leaves change color in autumn?,Peachleaf willow is a deciduous tree.,2.487
Where can you find marine biomes?,Largest of the oceans on Earth is the Pacific Ocean .,2.078
What do frogs breathe with their lungs?,skin is used for breathing air by frogs,2.287
An example of invertebrates are,Cnidarians are invertebrates such as jellyfish and corals.,2.32
what does a light bulb require to produce light?,a light bulb requires electrical energy to produce light,2.467
Alternation of generations allows for different methods of producing:,Asexual reproduction gives offspring similar to parents.,2.093
Contact between what over long periods of time causes them to smooth?,Granite is rock formed by fire.,2.081
what can acid rain change?,Acid rain changes the acidity of soil and water.,2.897
What might parents pass on to their offspring?,Freckles are beautiful.,2.086
power stations which generate electricity produce gases in the atmosphere cause what,Coal-fired plants Are power stations which burn coal to generate electricity.,2.052
Creatures with six legs may live in what?,Ants live in large colonies.,2.54699999999999
What changes from gas in the air to liquid by reducing heat energy?,condensation is when change from a gas into a liquid by reducing heat energy,2.68399999999999
What is the behavior of attracting something that is phenotypically similar to the seeker called?,Assortative mating is the mating of individuals that are phenotypically similar.,2.21199999999999
What does cooking an egg cause?,heating an egg causes a chemical reaction in the egg,2.726
What has a negative impact on forests?,erosion of soil has a negative impact on the environment,2.50699999999999
What carries something that covers organisms to make fossils?,All streams carry sediment .,2.095
A pesticide is used for protecting plants by killing what?,a pesticide is used for protecting plants by killing insects,2.56
What can cause your insurance rates to skyrocket?,being distracted while driving can cause people to crash their car,2.433
When stretched too thin what kind of bands will vibrate?,"After all, rubber bands tend to snap when stretched too thin.",2.391
How do animals get their food?,Animals mostly eat other living things.,2.654
What may cause animals to fight towards members of their own species?,competition may cause animals to fight towards members of their own species,2.588
what is a stopwatch used to measure?,All times are measured in seconds.,2.223
What can cause an uncontrolled growth and spread of abnormal cells?,Cancer is an uncontrolled growth and spread of abnormal cells.,2.43
Which is the most likely cause of throat tumors?,Some viruses can cause cancer.,2.521
what can tidal energy be used to produce?,tidal energy can be used to produce electricity,2.598
what type of nervous system do Cephalopods have?,Cephalopods have the most advanced nervous systems of all invertebrates.,2.55
What is the final stage of mitosis in eukaryotes and prokaryotes?,Cytokinesis is the final stage of cell division in eukaryotes as well as prokaryotes.,2.76899999999999
What can be a disease with genetic traits?,Cancer genes can be inherited.,2.543
what does a hemisphere need to be tilted away from the receive less sunlight?,"Similarly, stars are referred to as suns, but our star is the Sun.",2.008
What does glucose make the pancreas secrete?,Glucose stimulates the pancreas to secrete insulin through negative feedback.,2.733
What do flames convert chemical energy into?,Fires are large uncontrolled flames.,2.143
What have special structures for penetrating trees,Host specificity was also observed for some fungi and tree species.,2.042
Any area that has not been what is likely to be covered with bacteria?,Every surface was scrubbed with bleach.,2.44199999999999
What must be adapted to salt water?,Organisms that live in marine biomes must be adapted to the salt in the water.,2.175
What can prevent food spoilage?,dehydrating food is used for preserving food,2.725
What converts more wind into electricity?,Wind speed is important for wind energy.,2.489
measuring the hardness of minerals requires doing what to them?,measuring the hardness of minerals requires scratching those materials,2.309
What is the average weather in Indonesia?,Climate Indonesia's climate is definitely tropical.,2.483
what more accurately measure compared to a graduated cylinder,a graduated cylinder is used to measure volume of a liquid,2.68899999999999
What group makes up the majority of multicellular eukaryotes?,Invertebrates make up the majority of the animal Kingdome.,2.481
Vesicle transport requires energy and a what?,"Vesicle transport requires energy, so it is also a form of active transport.",2.726
Roots grow in length and width from both what?,Meristems are found in both roots and shoots.,2.429
DNA is typically found in this state:,"Chromosome Chromosome A chromosome is a grouping of coiled strands of DNA , containing many genes.",2.634
What kind of impact does Crohn's have on an organism?,disease has a negative impact on an organism,2.363
What occurs in response to a change in the environment?,Natural selection is the main mechanism of evolution.,2.06699999999999
What do amphibians pump around the body in a complex manner?,Amphibians have a relatively complex circulatory system with a three-chambered heart.,2.368
what energy is used for heating a building?,Heating system is Gas.,2.646
what can sunlight and rain cause?,sunlight and rain can cause a rainbow,2.293
what can a mirror be used to reflect?,a mirror is used for reflecting light,2.862
What are pheromones used for?,Pheromones are chemicals produced by animals allowing individuals of a species to communicate.,2.073
What can keep mold from entering the respiratory system?,"Typically, anesthesia begins with a breathing mask.",2.155
Which of the following passes through an eye's pupil,Light is made of photons .,2.29
what can cause a landslide?,erosion can cause a landslide,2.691
What is more complex in eukaryotes than prokaryotes?,Cell division is more complex in eukaryotes than prokaryotes.,2.436
if a habitat can no longer support animals then they will not be able to what,if a habitat can no longer support animals then those animals will move to another area,2.49
water can have similar consequences on soil like?,Water erosion has similar consequences as wind erosion.,2.261
