question,sentence,sia_score
A riverbank is made of what?,a riverbank is made of soil,2.504
A fish lives in,"Dihydrogen monoxide is commonly called water.
",2.296
On what product might you find a reflector?,a reflector is used to reflect light especially on vehicles,2.52
Which statement is true?,"Coke cans can be reused
",2.184
"Generally, electricity cannot flow through","an open circuit is an incomplete conductive path
",2.384
A source of heat is used to make,"pastries are baked in an oven
",2.424
When food is reduced in the stomach,"deconstructed means breaking down
",2.424
"A creature that is lacking domestication, and is also lacking a wild space, perhaps occupies","habitat is home
",2.144
To have a positive impact on the environment,"shorter showers conserve water
",2.696
Which is able to create its own nourishment from sunlight?,"roses are flowers
",2.552
Ice wedging can be explained by pointing to,ice wedging is when ice causes rocks to crack by expanding in openings,2.136
"Birds eat nuts, but sometimes they eat",birds sometimes eat insects,2.568
Which is likeliest to provide a home for many species?,"A log is a tree
",2.0
A skunk produces a bad what?,a skunk produces a bad odor,2.6239999999999997
A pulley is used to lift a flag on a flagpole by,"a pulley uses a string or rope
",2.32
Sand dunes are made of,sand dunes are made of sand,2.488
Which likely increased atmospheric CO2 recently?,"motorcycles increase CO2
",2.76
A Bald Eagle's ability to build it's nest is,An example of an inherited behavior is a bird building a nest,2.496
Survival of an organism is positively impacted by,"viable and required things are resources
",2.448
A chocolate rabbit melts away from,"a curling iron radiates heat
",2.184
if one electrical conductor contacts another electrical conductor then what will flow through both conductors?,"zapping power is electricity
",2.496
Characteristics that are inherited are unnaturally changeable. Which one of these is inherited?,"You cant change how short you are
",2.48
A monkey grabs a banana in order to,"animals eat food to gain nutrients
",2.208
The best way to start a fire is to use,"moisture deprived logs are dry wood
",2.8560000000000003
Earth's magnetic patterns are helpful,"birds migrate to find warmer places for the winter
",2.36
An animal's brain,an animal 's brain controls that animal,2.472
An environment is likely to change when humans,humans building homes in an ecosystem causes that environment to change,2.68
Blood gets directed around beneath skin and bone by,the circulatory system transports blood throughout the body,2.0
After the Meyer tree's flowers pedals drop you are left with,"Meyer lemon trees have a sweet fruit
",2.016
"A farmer needs to change up his crops. He has planted grains for the last five years. He plants something different this year, so his crop is probably",crop rotation is when different crops are planted on a field in different years,2.36
Heat causes,"condensation is a stage in the water cycle process when a moist film is on my spectacles
",2.248
"A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because","An owl is a bird
",2.36
plants gather their nutrients from the,soil contains nutrients for plants,2.68
"Tungsten is a metal which is found in large amounts in filaments, which are used in incandescent light bulbs. These light bulbs work because",an incandescent light bulb converts electricity into light by sending electricity through a filament,2.3040000000000003
"If you hear that its snowy outside, you can expect there to be",snowy means a large amount of snow,2.552
"If the leaves are removed from an oak tree, that can cause the tree to","many trees lose their leaves in the winter
",2.4
Producers provide an ecosystem with,a producer is a source of sugar in an ecosystem,2.616
What would be easier to burn?,"A park bend would burn easily
",2.472
This white object is visible due to being close to earth,the moon is the celestial object that is closest to the Earth,2.3280000000000003
I can use a ruler to measure,a ruler is used for measuring the length of an object,2.648
A seismometer will be able to tell someone,a seismometer is used to measure the strength or magnitude of an earthquake,2.2319999999999998
Max mixed some orange flavored powder in a glass of water until there it was dissolved. His sister tasted it and it tasted like,"orange is a citrus fruit
",2.32
Which can is depleted permanently?,"coal is extracted by mining
",2.32
"When certain things are shoved together enough, the earth will tremble and shake because of these","underground collisions are produced by earthquakes
",2.016
A simple machine like a screw will need,"adjusting a thing is a change
",2.544
if an organism makes food for itself then that organism needs to,if an organism makes food for itself then that organism does not need to eat other organisms,2.84
The winter solstice is the shortest day in the northern,"the top half of the globe is the norther hemisphere
",2.032
By plugging in the cord you can supply power to,"when an electrical conductor is plugged into an outlet , a circuit is completed",2.056
Snowfall takes place during the winter in what area?,"Arctic animas live in snow environments
",2.096
People use hand dryers after washing their hands in order to,a hand dryer produces heat,2.464
A tree can be replaced by planting a new what?,"A tall bush is a tree
",2.7119999999999997
A coral plant will thrive in,usually coral lives in warm water,2.472
A large source of heat can be seen in the,the sun is a source of heat called sunlight,2.488
What are created during the pupa stage in a life cycle?,"cocoons are hard shells
",2.336
One full rotation on Earth's axis takes,"there are 1440 minutes in a day
",2.8080000000000003
"A person wants to buy some reusable equipment for the kitchen, so they get","ceramic is reusable
",2.832
"A person wants to signal to another person, but is lacking a flashlight. They can","mirrors are made with metal
",2.2
cycles of day and night occur once per,cycles of day and night occur once per day,2.68
A river rushes and pebbles are smacked around one another until,"velvety rocks are smooth
",2.024
A person with a pet amphibian will likely feed it,"meal worms are insects
",2.2
What is the most likely to be an effect of acid rain on an aquatic environment?,"decrease in water quality leads to a decrease in aquatic life
",2.096
When soil is disrupted to extreme levels,erosion of soil has a negative impact on the environment,2.04
Maggots eat flesh turning it into,"plants need soil for nutrients
",2.056
"In the desert, the cactus is a rare source of","moisture causes humidity
",2.472
"A glacier moved through an area years and years ago, and scientists can tell this by","stone is rocks
",2.12
Death begins for a leaf the second it,if a leaf falls off of a tree then that leaf is dead,2.2
Pollution is caused by using what?,"a chevy ride is a vehicle
",2.568
Marbles in the right light make,"rainbows are produced through multi-faceted sides
",2.352
Which recyclable body part is largely comprised of muscle,the heart is mostly made of muscle,2.376
Which of the following crops was the first staple in the human diet?,"corn and wheat are Americas biggest crops
",2.312
which of these is an accurate scenario?,"the moon revolves around the earth which revolves around sun
",2.608
Birds sometimes eat what?,birds sometimes eat insects,2.144
Which is most accurate?,"solids have varying melting points
",2.36
"Plants are like all other organisms, in that they need what to survive?",an plant requires food for survival,2.04
"A bear that has great strength, when compared to a bear with little strength, will likely be","fit means healthy
",2.224
An example of being a predator is,a beak is used for catching prey by some birds,2.544
"as dryness increases in an environment, biodiversity","as dryness increases in an environment , the available water in that environment will decrease",2.8
"Jenny was outside facing her house holding a compass. The needle of the compass was facing her house. Staying in one place she turned around and around, stopping several times. She noticed that whichever way she faced","If you hold the compass sideways, one end of the compass's needle will point down into the earth, and the other will point up
",2.136
A skunk wards off predators with,"skunks make bad odors
",2.048
One of the earth's layer's is it's crust. It can be found,"the crust is just above the mantle
",2.832
Driving during a snow storm or strong thunderstorm is a bad idea because bad weather makes it,bad weather decreases visibility while driving,2.008
Plate shifting likely directly created,"The Alps are located in Europe
",2.296
"When a plant is watered, spraying water on leaves is less useful than","soil contains nutrients
",2.064
which of these need to be present for a tectonic plate movement,a tectonic plate moves along a fault line,2.376
"What would be an example of a force acting on an object in the opposite direction that the object is moving, which would cause the object's speed to decrease in a forward motion?",a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,2.48
"if a person is unable to stand cold weather, which of these should be avoided?",the arctic environment is cold in temperature from being at a northern lattitude below 0 degrees celsius during most of the year,2.04
An elephant on the plains and a diamondback in the desert will receive,a grassland environment receives more rainfall than a desert,2.424
A place becomes chilly and then animals in that space,"as temperature in an environment decreases , the amount of water an animal in that environment will lose will decrease",2.224
To attract birds to your yard,"seeds in a dish act as a feeder
",2.432
"Chloroplasts need to be collected, so scientists gather up",a plant cell contains chloroplasts,2.128
A person wanting to conserve resources in a positive way will,"recycling plastics is done by putting them in recycling containers
",2.488
John was able to read at night even though the electricity had gone out. John was using,"a candle is an item made from a petroleum product with a cord sticking out the top
",2.3280000000000003
The count of rings in a pine has a one to one relationship with the number of years it has,"a pine is a tree
",2.056
"Animals eat food for the taste but also because without it, they would",an animal needs to eat food for nutrients,2.36
"Winning a race requires you to be reach the finish line in a before your opponents, so using what will measure how much faster you win or lose by?",a stopwatch is used to measure time,2.408
Overpopulation may result,"reproduction is positive
",2.064
What kind of energy causes evaporation?,"hotness is increased temperature
",2.3040000000000003
What does a leaf need to do to absorb the most sunlight that it can?,"as the size of a leaf increases , the amount of sunlight absorbed by that leaf will increase",2.544
Where is fruit made?,"fruit has seeds
",2.048
An example of camouflage could be,An example of camouflage is when something has the same color as its environment,2.096
"Science fact: as the sale of a product decreases , the amount of money made by the person selling that product will decrease.  However, sales could possibly grow with","as the sale of a product decreases , the amount of money made by the person selling that product will decrease",2.7119999999999997
"If a bass is returned to its home, it is placed in","a brook is a water source
",2.2640000000000002
What requires warmth for survival?,"a bloodhound is an animal
",2.168
To identify the percent chance of a trait being passed down we need at least,a Punnett square is used to identify the percent chance of a trait being passed down from a parent to its offspring,2.496
High can be visually represented by,"mountains are raised
",2.096
What is decomposed in decomposition?,decomposition is when a decomposer breaks down dead organisms,2.376
which one of these activities can lead to animal gathering seeds,An example of seed dispersal is is an animal gathering seeds,2.576
A person wanting to conserve resources in a positive way will,"putting plastic in special containers is recycling
",2.6319999999999997
The reason that ducks are such excellent swimmers is because,"webbing is extra skin on feet
",2.4
matter is made of what?,"united atoms compose molecules
",2.184
Which of these things will supplement a squirrel's caloric needs?,"Squirrels conserve nuts over winter
",2.016
"If one mineral can scratch another mineral then that other mineral is softer than that one mineral, as can be tested with",if one mineral can scratch another mineral then that other mineral is softer than that one mineral,2.72
Explosions can cause harm to what?,explosions can cause harm to an organism,2.48
An echo is produced by what type of reflection of sound source?,"when a sound is produced inside of a room , there is sometimes an echo after the sound",2.112
What is a source of nectar?,"daffodils are flowers with leaves
",2.248
Which creature would be safest from predators in its natural underground habitat?,"moles live underground
",2.6239999999999997
Which is likely to cause changing weather in a specific location?,climate is the usual kind of weather in a location,2.272
Toggling a light switch on,"plugging a television in completes a circuit
",2.2159999999999997
An example of a ferromagnetic metals could be,a paper clip is often made of ferromagnetic metals,2.104
What forms craters on planets?,"stones are rocks
",2.352
Mice live in holes where?,mice live in in holes in the ground in fields,2.792
A person notes that the moon goes through various phases and eventually repeats these phases over the course of,a revolution of the moon around the Earth takes 1 month,2.112
A large body of salty water drying up is responsible for the creation of the,"salt water is sourced from the ocean
",2.496
"The past week has been warm, humid and foggy. As the weather is supposed to cool a little bit tomorrow, a reasonable person could assume that tomorrow will be","a sunny desert is warmer than a rainy forest
",2.104
When would most people wear shorts?,"people wear shorts when it's warm and noon is the middle of the day
",2.6319999999999997
Certain moths are able to experience incomplete metamorphosis by,incomplete metamorphosis is when an insect reaches the adult stage without being a pupa,2.6
A baby bear has golden fur which is medium length. The reason for this is most likely,the coloration of fur is an inherited characteristic,2.312
"To replenish the shade in a city that had been provided by trees that were felled by a storm, you must","timber is tree products
",2.144
Tearing an object changes that object's what?,"entire appearance is shape
",2.136
A person can cause a chemical reaction by adding heat to,"cake batter cooks when heat is applied
",2.576
Which of the following organisms uses what is referred to as system of tubes to transport water and nutrients?,"bamboo grows quickly
",2.384
An animal that often lives in holes in the ground in fields has,"mice have round ears
",2.544
Sedimentary rock is where you'll find most,nearly all fossils are found in sedimentary rock,2.344
A pollution source in a county may be,an landfill is a source of pollution,2.608
What does mining change?,mining changes an ecosystem,2.784
Flashlights require batteries,"to illuminate is to use light energy
",2.6239999999999997
"A cat and a snake are both predators for several of the same animals. If there are only seven mice in a habitat shared by a cat and a snake, there will be","Cats eat mice and other rodents.
",2.04
the central object of our solar system is also,"Energy from the yellow dwarf star closest to us is solar energy
",2.752
What displays the movement of electrons from the base atoms?,"a plasma star is in the process of having plasma on it
",2.416
Which is likely to be hotter?,"coffee is a hot substance
",2.2880000000000003
Greenhouses,"greenhouses protect plants and flowers from the elements
",2.392
cooking a meal will lead to a transfer of energy into that meal?,if food is cooked then heat energy is added to that food,2.48
Mountains exist on a planet next to,"Mars is next to Earth
",2.8
Which creature would be safest from predators in its natural underground habitat?,"moles dig tunnels underground, tunnels protect the creatures that use them
",2.408
An organism passes from the world and so it,"having croaked is to have died
",2.048
What kind of impact does exercise have on a humans health?,exercise has a positive impact on a human 's health,2.696
Wildfire is when what catches fire?,wildfire is when a forest catches fire,2.872
A large turbine in a field can produce electricity to power devices when,"breeze is wind
",2.12
"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means","concrete can break
",2.4
"if a salmon visits the site of its birth, what could be the reason for that?",An example of a reproductive behavior is salmon returning to their birthplace to lay their eggs,2.3680000000000003
Carbonic acid dissolves what to form caverns?,"sediment is rock
",2.088
The earth revolves around,"The sun is a source of heat for the earth
",2.528
What kind of energy causes evaporation?,the sun causes water to evaporate more quickly by adding heat,2.048
Electricity is able to flow through a circuit after it is...?,"when an electrical conductor is plugged into an outlet , a circuit is completed",2.1519999999999997
nutrients from food and water are necessary to an organism's,an animal requires nutrients for survival,2.696
"To discover how tough a certain mineral may be, one would",if one mineral can scratch another mineral then that other mineral is softer than that one mineral,2.016
I can use a stopwatch to track,a stopwatch is used to measure time,2.208
The molten rock under the surface is called magma and once is appears on what area is it called lava?,"lava moves above ground
",2.6319999999999997
"a student leaves a nail line on a mineral sample, so that mineral can be described as what?",if a mineral can be scratched by a fingernail then that mineral is soft,2.48
Matter in the gas phase has,"volume is an amount
",2.0
"In humans, bacteria can help digest what?",bacteria can help digest food in humans,2.8160000000000003
A higher barometer reading means,"as air pressure increases , the reading on a barometer will rise",2.8960000000000004
What does a leaf need to do to absorb the most sunlight that it can?,"the sun is a very large object
",2.256
When light enters the eye through the pupil the light falls on the what?,"the retina is the optic disk
",2.736
"An animal usually requires a warm body temperature for survival, such as",an animal usually requires a warm body temperature for survival,2.7119999999999997
A plant photosynthesizing will do a more efficient job it it has,"flat leaves help photosynthesis
",2.12
"If a hilly area that reaches incredible peaks is existing, then what happened long ago was","stones crumpling are rocks folding
",2.448
Where would you hear sound reflecting off surfaces?,echo is when sound reflects off of a surface,2.176
"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes",volcanoes are often found under oceans,2.616
"During a prolonged shortage of water, a tree's ability to add extra tissue and grow thick rings is slowed and the tree produces","as the amount of available water decreases , tree-growth rings will become narrower",2.568
A wolf would eat,"wolves are predators and ibex are prey
",2.32
The only stage of the water cycle process that is nonexistent is,evaporation is a stage in the water cycle process,2.432
Echo is when sound reflects off of what?,"tables are a surface
",2.032
Flowers will reproduce more if,"make a pit stop means go to the flower
",2.512
If a high percentage of water is visible in the air?,fog is formed by water vapor condensing in the air,2.128
"The more often wildfires take place on a space of land, the more often we will see","animal groups decline when fires destroy food in ecosystems
",2.56
What does an animal require to survive?,"nutriment is food
",2.048
Flashlights require batteries,a flashlight emits light,2.496
Flashlights require batteries,"to illuminate is to use light energy
",2.6239999999999997
"If a load of deer are moved to a small park, and they are repeatedly sprayed with pesticides, the","deer are herbivores
",2.104
"A thing with cells is going to expand, but first requires","nourishment is nutrients
",2.32
What requires photosynthesis to grow?,"local flora is the environment
",2.112
Birds are a vehicle for spreading the seeds of what?,"oaks grow
",2.544
What requires sunlight to grow?,a plant requires sunlight to grow,2.56
A person who is trying something out for the first time that will have unpredictable reactions will,"safety goggles are desired when in dangerous situations
",2.56
A balance is used to measure the what of  a substance?,a balance is used for measuring weight of a substance,2.76
Needing to use an umbrella could be the result of,"precipitation is rainfall
",2.104
Which would feel hotter?,"bubbling water on a stove is boiling
",2.296
Bats use the organs on the side of their heads to,"their ears recieve short radio pulses showing them their prey
",2.568
Why would happen if the screw was loose on a bicycle's tire?,a bicycle contains screws,2.376
A thing that is experiencing transpiration is likely to be,"hydrangea is a plant
",2.016
A fish lives in,"Dihydrogen monoxide is commonly called water.
",2.296
How can a woman's compact best help if she is lost on a mountain?,"the reflected light from a mirror allows someone to see themselves
",2.128
Which setup likely refracts light?,"gems and bottles can also refract light
",2.6719999999999997
Retinas can have light fall on them when,"pupils need to be open for light to enter
",2.8160000000000003
Which is the most accurate statement?,"oaks grow
",2.7119999999999997
As demand for product lags,"retailers sell product
",2.6
Which three events are likely to occur once per day?,"a day-night cycle is a day
",2.28
Which of the following is most accurate?,"dams are manmade means of sourcing hydropower
",2.3040000000000003
Plants are unable to grow without soil because soil is where the plants get their,"sustenance is nutrients
",2.464
What does a hand dryer produce?,"hotness is heat
",2.512
A boy wants to collect clams for supper and must therefore spend time,clams live at the bottom of the ocean,2.04
An example of an electrical circuit could be,a light bulb converts electrical energy into light energy when it is turned on,2.4
Solar energy called sunlight originates from,"rotation of planet causes setting of sun
",2.408
"All organism require food to satiate themselves, grow big and strong, and also",an animal requires nutrients to grow and heal,2.544
"To function, electrical energy is required for what kind of devices?","zapping power is electricity
",2.84
A polar bear is white because,the coloration of fur is an inherited characteristic,2.2319999999999998
Which of the following would be considered the most windy,"A hurricane is characterized by high wind speeds
",2.296
Playing music at a certain frequency may,"glass can vibrate
",2.168
lizards eat,lizards eat insects,2.3680000000000003
What purpose does a plant light serve?,"sunlight gives energy
",2.32
"If the ground is fully shaded, and plants there barely grow, likely the reason is","oaks grow
",2.472
Which would likely spread the fastest?,"Car exhaust in the gas phase
",2.456
"Having reliable plant sources in a field, a rabbit may react by","larger litters increase population
",2.272
Where does August take place during the winter?,August is during the winter in the southern hemisphere,2.12
A retina may be illuminated by,"campfires contain fire
",2.392
local plant varieties are the best for improving the local,"environs are a surrounding area
",2.52
How many revolutions does the moon make around the Earth during spring?,a revolution of the moon around the Earth takes 1 month,2.032
Using a menstrual cup instead of pads or tampons can help avoid,An example of avoiding waste is using an object more than once,2.3680000000000003
This organ will help in providing nutrients to your body,the digestive system breaks food into nutrients for the body,2.048
Which of the following are found in woodlands?,some crickets live in forests,2.8560000000000003
The moon,"the earth has less mass than the sun
",2.336
summer is when a hemisphere is tilted towards what?,summer is when a hemisphere is tilted towards the sun,2.7039999999999997
How many times does the Earth complete a revolution around the sun in a decade?,a complete revolution of the Earth around the sun takes one solar year,2.432
A plant needing to photosynthesize will best be able to,"a room with a roof lets in sunglight
",2.168
Which of the following substances likely contains plant seeds?,"Animal poop helps with seed spreading.
",2.136
Beach gear that protects your peepers and looks cool is,"tinted glasses have tinted lenses
",2.456
Aerial maps represent what feature using dark green?,"trees packed close together depict a dense forest
",2.432
If a person has a respiratory system then they are able to remove from a room,the respiratory system takes in oxygen from the air,2.68
Which substance is likely present for the birth of a mountain?,mountains are formed by volcanoes,2.104
"When a forested area receives very little rain, the tall plants in that area","age markings on tall plants are rings in trees
",2.48
Which of the following will most likely to be true?,a laser is used for producing light,2.248
Which of these helps some animals find mates by color?,"eyesight is needed to see colors
",2.504
"Though fossil fuels and their byproducts will eventually be used up completely, we'll still have","light from stars is an alternative fuel
",2.456
Which is a complete circuit?,"a refrigerator is an electric device
",2.072
Precipitation is the amount of,"raindrops act as a pism
",2.208
which of these would be most healthy?,"three meals a day is standard for human nourishment
",2.528
"If you're stuck outside on a sunny day, the coolest place would be under a tree because they do what to the sunlight",large trees block sunlight from reaching the ground,2.2319999999999998
"when the needle of a compass lines up with Earth 's magnetic poles , the needle is","when the needle of a compass lines up with Earth 's magnetic poles , the needle points north",2.784
The main reason people want to use wind as an energy source is because there is,wind is an inexhaustible resource,2.6239999999999997
Seconds are used to measure,"measurement concerning time is the amount of time between two specific points in time
",2.184
Which of the following relationships is true?,"diamonds scratch other minerals
",2.576
an inherited characteristic found on all mammals is,"an animal's fur forms their coat
",2.456
"Jenny was outside facing her house holding a compass. The needle of the compass was facing her house. Staying in one place she turned around and around, stopping several times. She noticed that whichever way she faced","If you hold the compass sideways, one end of the compass's needle will point down into the earth, and the other will point up
",2.136
"If you are feeling cold, its a good idea to go for a run or even a brisk walk because as you move, your energy is turned into what?","warmth is heat
",2.376
All of the following contain chloroplasts but this,a plant cell contains chloroplasts,2.384
Adults that go through incomplete metamorphosis may have,incomplete metamorphosis is when an insect reaches the adult stage without being a pupa,2.312
An area of dirt may have rivets in it depending on,"soil is dirt
",2.496
Environments which are covered in snow are often white as a result of said snow and what other factor?,cold environments are usually white in color from being covered in snow,2.392
Which animal lacks the ability to see by sensing light?,eyes are used for seeing by animals by sensing light,2.392
"What best describes the relationship with the moon, Earth, and the sun?","the Earth orbits the sun once per year
",2.064
What does water taste like after a substance is dissolved in it?,dissolving a substance in water causes the water to taste like that substance,2.496
Plants are called producers because they may produce their own,In the food chain process a green plant has the role of producer,2.032
A person puts liquid matter in a glass and it,Matter in the liquid phase has variable shape,2.488
"Plants and trees suck up carbon dioxide, so if trees are cut down, carbon levels will","escalate means go up
",2.52
What is a thermometer used to measure?,a thermometer is used to measure temperature,2.416
A good place to use a thermometer is,a thermometer is used to measure temperature,2.256
Special plant tissues transport what throughout the plant?,"manganese is a mineral plants use
",2.088
What lives in some zoo exhibits?,some animals live in zoo exhibits,2.392
When would a habitat be considered destroyed?,if a habitat is removed then that habitat is destroyed,2.104
A car rounds a corner and the driver taps the breaks. The breaks being tapped causes,"the car is travelling toward the person
",2.184
Seasons occur because long ago something huge slammed into our planet and now its axis is,"our planet is Earth and a tilted axis is a slanted axis
",2.544
What goes to a place that has a negative impact on the environment?,landfills have a negative impact on the environment,2.352
If Earth has poles that are magnetic,a compass 's needle lines up with Earth 's magnetic poles,2.528
"A person needs to make a stove run with only energy that will run forever, so they make a","a stove in an electrical device
",2.312
A bird eating a lizard is an example of what type of relationship?,hawks eat lizards,2.336
"If an electric circuit has six paths and another electric circuit has one path, the six path circuit is",if electricity flows along more than one pathway then the circuit is parallel,2.536
The earth has completed half of its yearly orbit of the sun and will complete the other half in,a complete revolution of the Earth around the sun takes one solar year,2.376
This famous mountain range in Europe came about due to,the Alps were formed by rock folding,2.344
A change to the environment can be,"flowers poke through snow when winter ends and spring begins
",2.6239999999999997
Which relationship is true?,"wind is renewable
",2.496
A cop can tell that a car is speeding because it is,"cruising is moving
",2.7439999999999998
An example of an offspring receiving a gene is,offspring receive genes from their parents through DNA,2.408
Which of these is a learned characteristic?,"doing laundry is a chore
",2.456
A car rounds a corner and the driver taps the breaks. The breaks being tapped causes,"slamming the breaks causes the car to skid
",2.832
"If an oak seed is placed in a compost pile in a garden, the garden's ecosystem will",planting trees has a positive impact on an ecosystem,2.56
Producers in the food chain,a producer produces its own food,2.344
A glacier is made from,"water and steam are the same substance
",2.1519999999999997
Being near buildings or houses is the worst spot to be when there is an earthquake as you are likely to be,"people get crushed by falling buildings in earthquakes
",2.472
A grouper will breathe beneath the surface of a pond because it has,"gills are slits in the neck of a fish
",2.568
"If an anteater eats an ant, where is that ant contained?","an anteater is an organism
",2.1519999999999997
What is a source of nectar?,"daffodils are plants
",2.376
Water vapor is an example of what?,An example of moisture is water vapor in the atmosphere,2.2880000000000003
chemical reactions cause,chemical reactions cause chemical change,2.64
Organisms can be preserved in,organisms can be preserved in sedimentary rock,2.7680000000000002
A retina may be illuminated by,"when light enters the eye through the pupil , that light falls on the retina",2.208
New plants sprang up everywhere seeds were taken by,"breezes disperse seeds
",2.68
To aid in keeping your outdoor animals warm in the winter,"thermal insulators retain heat in a warm place from losing heat to the outdoors
",2.48
"A ferromagnetic metal, such as in paper clips, can stick to other paper clips without hooking together",a paper clip is often made of ferromagnetic metals,2.56
What does a seismograph measure?,"underground collisions are produced by earthquakes
",2.072
Nutrients in soil,"producer organisms are the first level of the food chain
",2.088
"f a plant shows up in a new place, what might have happened?","seeds are cased embryonic plants
",2.2
Which would have the most gravity?,"The only ball of burning gas in our solar system is the sun.
",2.48
"If a light needs to be relocated to another room without leaving that room physically, a person could",a mirror is used for reflecting light,2.608
Foxes eat,"wolves eat rabbits
",2.336
Additional consistent force on a vehicle moving forward will cause that vehicle to,a force continually acting on an object in the same direction that the object is moving can cause that object 's speed to increase in a forward motion,2.648
Twenty four hours contains one,"a solar cycle is equal to 1 day
",2.3040000000000003
An organism is a source of what kind of matter?,an organism is a source of organic matter,2.8960000000000004
A salamander is,"the cold blooded aspect lets the amphibian hibernate
",2.408
some humans live in,some humans live in houses,2.272
Which of the following statements is true,"Biofuel is still better than some alternatives
",2.384
An example of weathering is,"sand is small rock particles
",2.52
What is made of minerals?,rock is made of minerals,2.408
Reproduction produces what?,"younglings are offspring
",2.208
The mantle is a layer of the Earth; what is something other than a layer?,the mantle is a layer of the Earth,2.6639999999999997
"If an object undergoes chemical change then that object will have new chemical properties, such as",if an object undergoes chemical change then that object will have new chemical properties,2.616
Which orbits a star?,"Neptune is a celestial body
",2.3040000000000003
When a plant is water the liquid goes from the soil area to where it is needed using what system?,"xylem moves water in plants like bushes
",2.344
Which is most considered a part of the skeletal system?,"the femur is a bone
",2.528
A household appliance prepares food using electrical energy and,"the heat energy is transferred to the food
",2.64
Water vapor cooling,"water droplets on a pot lid is a result of condensation
",2.8
"If a new predator begins eating prey, what will happen to the preys population?",if a new predator begins eating prey then the population of that prey will decrease,2.608
Breathing is when the lungs convert oxygen from inhaled air into,breathing is when a lung converts from oxygen in air into oxygen in blood,2.6239999999999997
Herbivores need to stock up on food before winter because,if an animal relies on plants for food then that animal must store enough food to last through the winter,2.464
What is an example of predators eating prey?,"devouring means to eat
",2.3280000000000003
The movement of lava might be compared to that of a,lava is found above the ground,2.24
something in a cold place becomes what?,something in a cold place becomes cold,2.616
A camouflaged creature in a patterned room will be,An example of camouflage is when something is the same color as its environment,2.24
"A mountain top heats and lava flows, resulting in",a plateau is formed by a buildup of cooled lava,2.488
A storm rolls in and the skies are filled with dark clouds which,clouds produce rain,2.648
"The planet got warmer and warmer, and now the atmosphere is warm as well with the greenhouse effect",the greenhouse effect is when carbon in the air heats a planet 's atmosphere,2.3280000000000003
A stage in the life cycle process includes what aspect?,"entity replication is reproduction
",2.208
What would you measure in a graduated cylinder?,a graduated cylinder is a kind of instrument for measuring volume of liquids or objects,2.064
Seasons are caused by,the Earth being tilted on its axis causes seasons,2.424
The pine farms experience destruction yearly due to,"abrupt electric discharge is lightning
",2.656
What does a frog eat?,a frog eats insects,2.496
What does a squirrel not eat?,squirrels eat edible plants,2.008
Seeing the stars will be harder when what happens?,"as light pollution increases , seeing the stars will be harder",2.592
The crust under everyone's feet is,"the outer covering is a layer
",2.488
What is the most likely cause of split rocks on a mountain slope?,"a pine tree is a plant
",2.48
An electric car will have difficulty receiving energy at,"gasoline will not charge an electric vehicle
",2.6639999999999997
Which animal is likeliest to be hidden in plain sight?,"a zebra is an animal
",2.6319999999999997
"High surface air temperatures, arid conditions, land overuse and over-population can all contribute to",drought may cause wildfires,2.64
"A goose needs to move to warmer states for the winter. Leaving its summer home, it heads out without a map, because it can always find the right way by using",Earth 's magnetic patterns are used for finding locations by animals that migrate,2.112
The molten rock under the surface is called magma and once is appears on what area is it called lava?,lava is found above the ground,2.8080000000000003
A person may celebrate an equinox,an equinox occurs twice per year,2.32
What is an example of runoff?,runoff is when cropland water enters bodies of water,2.056
which one of these would be easiest to measure with a tape?,"bread is a carb
",2.072
Tectonic expression can give massive amounts of data to a,a seismograph is a kind of tool for measuring the size of an earthquake,2.072
A salamander is,"reptiles are cold blooded and will die in colder temperatures
",2.112
"To function, electrical energy is required for what kind of devices?",electric devices require electrical energy to function,2.424
Which would you have the most difficult time spotting in the woods?,"satanic leaf-tailed geckos are an organism which looks like leaves
",2.424
A herd of deer may be forced to search for a new home if,"deer are herbivores
",2.056
A person is wondering how much the steam from the pot of water that is boiling will measure. They are able to measure it in a definite way by,"steam condensing pools
",2.088
A year can pass in the time it takes,"our globe is the earth that circles the sun
",2.424
You can use plants like star anise for,"sustenance is nutrients
",2.336
After a whiteout you need to,"snow is white precipitation
",2.6719999999999997
"A beak is used for catching prey by some birds, like how they are used by","chickadees are birds
",2.696
"Which converts carbon dioxide, water, and solar energy into oxygen?","photosynthesis means green plants convert from carbon dioxide, water, and solar energy into oxygen for themselves",2.176
A rainy environment results in,"move overcast days mean less sunny days
",2.488
what process is adulthood categorized under?,adulthood is a stage in the life cycle process,2.2
Candace pushed a button outside her friend's house and a buzzer went off inside the house.,pushing a button sometimes completes a circuit,2.552
Which would likely most impact a barometer?,"as air pressure increases , the reading on a barometer will rise",2.088
Phase changing occurs when,"jello mix goes from liquid to solid when refrigerated
",2.696
"As the wind is blowing on the back of a car with a strong gust, the car will","the driver's goal is to speed up, wind prevents that
",2.048
